Date,Apple_Price,Apple_Vol.
2025-08-29,232.14,39418440.0
2025-08-28,232.56,38074700.0
2025-08-27,230.49,31259510.0
2025-08-26,229.31,54575110.0
2025-08-25,227.16,30983130.0
2025-08-22,227.76,42477810.0
2025-08-21,224.9,30621250.0
2025-08-20,226.01,42263870.0
2025-08-19,230.56,39402560.0
2025-08-18,230.89,37476190.0
2025-08-15,231.59,56038660.0
2025-08-14,232.78,51916280.0
2025-08-13,233.33,69878550.0
2025-08-12,229.65,55672300.0
2025-08-11,227.18,61806130.0
2025-08-08,229.35,113854000.0
2025-08-07,220.03,90224830.0
2025-08-06,213.25,108483100.0
2025-08-05,202.92,44155080.0
2025-08-04,203.35,75109300.0
2025-08-01,202.38,104434500.0
2025-07-31,207.57,80698430.0
2025-07-30,209.05,45512510.0
2025-07-29,211.27,51411720.0
2025-07-28,214.05,37858020.0
2025-07-25,213.88,40268780.0
2025-07-24,213.76,46022620.0
2025-07-23,214.15,46989300.0
2025-07-22,214.4,46404070.0
2025-07-21,212.48,51377430.0
2025-07-18,211.18,48974590.0
2025-07-17,210.02,48068140.0
2025-07-16,210.16,47490530.0
2025-07-15,209.11,42296340.0
2025-07-14,208.62,38840110.0
2025-07-11,211.16,39765810.0
2025-07-10,212.41,44443640.0
2025-07-09,211.14,48749370.0
2025-07-08,210.01,42848930.0
2025-07-07,209.95,50228980.0
2025-07-03,213.55,34955840.0
2025-07-02,212.44,67941810.0
2025-07-01,207.82,78788870.0
2025-06-30,205.17,91912820.0
2025-06-27,201.08,73188570.0
2025-06-26,201.0,50799120.0
2025-06-25,201.56,39525730.0
2025-06-24,200.3,54064030.0
2025-06-23,201.5,55814270.0
2025-06-20,201.0,96813540.0
2025-06-18,196.58,45394690.0
2025-06-17,195.64,38856150.0
2025-06-16,198.42,43020690.0
2025-06-13,196.45,51447350.0
2025-06-12,199.2,43904640.0
2025-06-11,198.78,60989860.0
2025-06-10,202.67,54672610.0
2025-06-09,201.45,72862560.0
2025-06-06,203.92,46607690.0
2025-06-05,200.63,55221240.0
2025-06-04,202.82,43603990.0
2025-06-03,203.27,46381570.0
2025-06-02,201.7,35423290.0
2025-05-30,200.85,70819940.0
2025-05-29,199.95,51477940.0
2025-05-28,200.42,45339680.0
2025-05-27,200.21,56288480.0
2025-05-23,195.27,78432920.0
2025-05-22,201.36,46742410.0
2025-05-21,202.09,59211770.0
2025-05-20,206.86,42496640.0
2025-05-19,208.78,46140530.0
2025-05-16,211.26,54737850.0
2025-05-15,211.45,45029470.0
2025-05-14,212.33,49325830.0
2025-05-13,212.93,51909330.0
2025-05-12,210.79,63775810.0
2025-05-09,198.53,36453920.0
2025-05-08,197.49,50478870.0
2025-05-07,196.25,68616940.0
2025-05-06,198.51,51216480.0
2025-05-05,198.89,69018450.0
2025-05-02,205.35,101010600.0
2025-05-01,213.32,57365680.0
2025-04-30,212.5,52286450.0
2025-04-29,211.21,36827630.0
2025-04-28,210.14,38743070.0
2025-04-25,209.28,38222260.0
2025-04-24,208.37,47310990.0
2025-04-23,204.6,52929170.0
2025-04-22,199.74,52976370.0
2025-04-21,193.16,46742540.0
2025-04-17,196.98,52164680.0
2025-04-16,194.27,59732420.0
2025-04-15,202.14,51343870.0
2025-04-14,202.52,101352900.0
2025-04-11,198.15,87435920.0
2025-04-10,190.42,121880000.0
2025-04-09,198.85,184395900.0
2025-04-08,172.42,120859500.0
2025-04-07,181.46,160466300.0
2025-04-04,188.38,125910900.0
2025-04-03,203.19,103419000.0
2025-04-02,223.89,35905900.0
2025-04-01,223.19,36412740.0
2025-03-31,222.13,65299320.0
2025-03-28,217.9,39818620.0
2025-03-27,223.85,37094770.0
2025-03-26,221.53,34532660.0
2025-03-25,223.75,34493580.0
2025-03-24,220.73,44299480.0
2025-03-21,218.27,94127770.0
2025-03-20,214.1,48862950.0
2025-03-19,215.24,54385390.0
2025-03-18,212.69,42432430.0
2025-03-17,214.0,48073430.0
2025-03-14,213.49,60107580.0
2025-03-13,209.68,61368330.0
2025-03-12,216.98,62547470.0
2025-03-11,220.84,76137410.0
2025-03-10,227.48,72071200.0
2025-03-07,239.07,46273570.0
2025-03-06,235.33,45170420.0
2025-03-05,235.74,47227640.0
2025-03-04,235.93,53798060.0
2025-03-03,238.03,47183990.0
2025-02-28,241.84,56833360.0
2025-02-27,237.3,41153640.0
2025-02-26,240.36,44433560.0
2025-02-25,247.04,48013270.0
2025-02-24,247.1,51326400.0
2025-02-21,245.55,53197430.0
2025-02-20,245.83,32316910.0
2025-02-19,244.87,32204220.0
2025-02-18,244.47,48822490.0
2025-02-14,244.6,40896230.0
2025-02-13,241.53,53614050.0
2025-02-12,236.87,45243290.0
2025-02-11,232.62,53718360.0
2025-02-10,227.65,33115650.0
2025-02-07,227.63,39707220.0
2025-02-06,233.22,29925350.0
2025-02-05,232.47,39664990.0
2025-02-04,232.8,45067300.0
2025-02-03,228.01,73063300.0
2025-01-31,236.0,101075100.0
