date,APPLE_Price,APPLE_Vol,MSFT_Price,MSFT_Vol,AMZN_Price,AMZN_Vol,Meta_Price,Meta_Vol,TSLA_Price,TSLA_Vol,GOOGL_Price,GOOGL_Vol,NVDA_Price,NVDA_Vol,AVGO_Price,AVGO_Vol,AMD_Price,AMD_Vol,JPM_Price,JPM_Vol,NASDAQ
09/30/2025,$254.63,37704260,$517.95,19728230,$219.57,48396370,$734.38,16226750,$444.72,74357960,$243.10,34724350,$186.58,236981000,$329.91,20109460,$161.79,29669330,$315.43,11823320,22660.01
09/29/2025,$254.43,40127690,$514.60,17617780,$222.17,44259180,$743.40,9246768,$443.21,79491510,$244.05,32505780,$181.85,193063500,$327.90,21336000,$161.36,39828790,$315.69,6462442,22591.15
09/26/2025,$255.46,46076260,$511.46,16213130,$219.78,41650100,$743.75,9696338,$440.40,101628200,$246.54,18503190,$178.19,148573700,$334.53,15464700,$159.46,30316930,$316.06,7258136,22484.07
09/25/2025,$256.87,55202080,$507.03,15786470,$218.15,52226330,$748.91,10591070,$423.39,96746430,$245.79,31020380,$177.69,191586700,$336.10,21678190,$161.27,36809880,$313.45,7083198,22384.7
09/24/2025,$252.31,42303710,$510.15,13533710,$220.21,49509030,$760.66,8828227,$442.79,93133570,$247.14,28201000,$176.97,143564100,$339.31,19677300,$160.88,38464120,$313.42,7310513,22497.85
09/23/2025,$254.43,60275190,$509.23,19799580,$220.71,70956190,$755.40,10872590,$425.85,83422690,$251.66,26628020,$178.43,192559600,$338.94,21944080,$160.90,39448320,$312.74,8584420,22573.47
09/22/2025,$256.08,105517400,$514.45,20009310,$227.63,45914510,$765.16,11706950,$434.21,97108780,$252.53,32290540,$183.61,269637000,$338.79,28660030,$159.79,46505480,$312.44,7520190,22788.98
09/19/2025,$245.50,163741300,$517.93,52474090,$231.48,97943170,$778.38,23696820,$426.07,93131030,$254.72,55571420,$176.67,237182100,$344.94,41240070,$157.39,55448080,$314.78,23568550,22631.48
09/18/2025,$237.88,44249580,$508.45,18913700,$231.23,37931740,$780.25,10954950,$416.85,90454510,$252.03,31239470,$176.24,191763300,$345.35,24663890,$157.92,84549470,$313.23,8050671,22470.73
09/17/2025,$238.99,46508020,$510.02,15816590,$231.62,42815230,$775.72,9400867,$425.86,106133500,$249.53,34107990,$170.29,211843800,$346.17,45197130,$159.16,41823840,$311.75,8657765,22261.33
09/16/2025,$238.15,63421100,$509.04,19711920,$234.05,38203910,$779.00,11782480,$421.62,104285700,$251.16,34109720,$174.88,140737800,$360.00,21306510,$160.46,27946480,$309.19,10525590,22333.96
09/15/2025,$236.70,42699520,$515.36,17143790,$231.43,33243330,$764.70,10533780,$410.04,163823700,$251.61,58383800,$177.75,147061600,$364.09,21792190,$161.16,36808730,$308.90,7122015,22348.75
9/12/2025,$234.07,55824220,$509.90,23624880,$228.15,38496220,$755.59,8248557,$395.94,168156400,$240.80,26771610,$177.82,124911000,$359.87,31949800,$158.57,42232780,$306.91,6846674,22141.1
9/11/2025,$230.03,50208580,$501.01,18881610,$229.95,37485600,$750.90,7923284,$368.81,103756000,$240.37,30599330,$177.17,151159300,$359.63,29430950,$155.67,48817720,$305.56,7942489,22043.07
9/10/2025,$226.79,83440810,$500.37,21611820,$230.33,60907710,$751.98,12478280,$347.79,72121680,$239.17,35141070,$177.33,226852000,$369.57,51086830,$159.54,52465270,$300.54,7787303,21886.06
9/9/2025,$234.35,66313920,$498.41,14410540,$238.24,27033780,$765.70,10999030,$346.97,53815990,$239.63,38060960,$170.76,157548400,$336.67,26972320,$155.82,42802470,$297.85,7848196,21879.49
9/8/2025,$237.88,48999500,$498.20,16771020,$235.84,33947100,$752.30,13087820,$346.40,75208290,$234.04,32474740,$168.31,163769100,$345.65,43535640,$151.41,41849000,$292.91,8188506,21798.7
9/5/2025,$239.69,54870400,$495.00,31994850,$232.33,36721800,$752.45,9663441,$350.84,108989800,$235.00,46588930,$167.02,224441400,$334.89,78401550,$151.14,78255950,$294.38,9837709,21700.39
9/4/2025,$239.78,47549430,$507.97,15509490,$235.68,59391780,$748.65,11439080,$338.53,60711030,$232.30,51684170,$171.66,141670100,$306.10,31220800,$161.79,32103500,$303.82,6605797,21707.69
9/3/2025,$238.47,66427840,$505.35,16345080,$225.99,29223130,$737.05,7699332,$334.09,88733290,$230.66,103336100,$170.62,164424900,$302.39,18529390,$162.13,30752790,$299.51,6316911,21497.73
9/2/2025,$229.72,44075640,$505.12,18128000,$225.34,38843880,$735.11,9350857,$329.36,58391950,$211.35,47523040,$170.78,231164900,$298.24,19693020,$162.32,38656130,$299.70,7221855,21279.63
08/29/2025,$232.14,39418440,$506.69,20961570,$229.00,26199170,$738.70,9070546,$333.87,81145660,$212.91,39728360,$174.18,243257900,$297.39,21610680,$162.63,37516820,$301.42,6796380,21455.55
08/28/2025,$232.56,38074700,$509.64,18015590,$231.60,33679590,$751.11,7467955,$345.98,67903220,$211.64,32339310,$180.17,281787800,$308.65,18907050,$168.58,36285190,$301.07,6410535,21705.16
08/27/2025,$230.49,31259510,$506.74,17277890,$229.12,21254480,$747.38,8315435,$349.60,65519010,$207.48,23022850,$181.60,235518900,$300.25,13830300,$167.13,37031040,$299.28,6056513,21590.14
08/26/2025,$229.31,54575110,$502.04,30835710,$228.71,26105370,$754.10,7601800,$351.67,76651550,$207.14,28464130,$181.77,168688200,$298.01,25689110,$166.62,52138560,$298.57,6714749,21544.27
