Date,Apple_Price,Apple_Vol.
08/29/2025,$232.14,39418440
08/28/2025,$232.56,38074700
08/27/2025,$230.49,31259510
08/26/2025,$229.31,54575110
08/25/2025,$227.16,30983130
08/22/2025,$227.76,42477810
08/21/2025,$224.90,30621250
08/20/2025,$226.01,42263870
08/19/2025,$230.56,39402560
08/18/2025,$230.89,37476190
08/15/2025,$231.59,56038660
08/14/2025,$232.78,51916280
08/13/2025,$233.33,69878550
08/12/2025,$229.65,55672300
08/11/2025,$227.18,61806130
08/08/2025,$229.35,113854000
08/07/2025,$220.03,90224830
08/06/2025,$213.25,108483100
08/05/2025,$202.92,44155080
08/04/2025,$203.35,75109300
08/01/2025,$202.38,104434500
07/31/2025,$207.57,80698430
07/30/2025,$209.05,45512510
07/29/2025,$211.27,51411720
07/28/2025,$214.05,37858020
07/25/2025,$213.88,40268780
07/24/2025,$213.76,46022620
07/23/2025,$214.15,46989300
07/22/2025,$214.40,46404070
07/21/2025,$212.48,51377430
07/18/2025,$211.18,48974590
07/17/2025,$210.02,48068140
07/16/2025,$210.16,47490530
07/15/2025,$209.11,42296340
07/14/2025,$208.62,38840110
07/11/2025,$211.16,39765810
07/10/2025,$212.41,44443640
07/09/2025,$211.14,48749370
07/08/2025,$210.01,42848930
07/07/2025,$209.95,50228980
07/03/2025,$213.55,34955840
07/02/2025,$212.44,67941810
07/01/2025,$207.82,78788870
06/30/2025,$205.17,91912820
06/27/2025,$201.08,73188570
06/26/2025,$201.00,50799120
06/25/2025,$201.56,39525730
06/24/2025,$200.30,54064030
06/23/2025,$201.50,55814270
06/20/2025,$201.00,96813540
06/18/2025,$196.58,45394690
06/17/2025,$195.64,38856150
06/16/2025,$198.42,43020690
06/13/2025,$196.45,51447350
06/12/2025,$199.20,43904640
06/11/2025,$198.78,60989860
06/10/2025,$202.67,54672610
06/09/2025,$201.45,72862560
06/06/2025,$203.92,46607690
06/05/2025,$200.63,55221240
06/04/2025,$202.82,43603990
06/03/2025,$203.27,46381570
06/02/2025,$201.70,35423290
05/30/2025,$200.85,70819940
05/29/2025,$199.95,51477940
05/28/2025,$200.42,45339680
05/27/2025,$200.21,56288480
05/23/2025,$195.27,78432920
05/22/2025,$201.36,46742410
05/21/2025,$202.09,59211770
05/20/2025,$206.86,42496640
05/19/2025,$208.78,46140530
05/16/2025,$211.26,54737850
05/15/2025,$211.45,45029470
05/14/2025,$212.33,49325830
05/13/2025,$212.93,51909330
05/12/2025,$210.79,63775810
05/09/2025,$198.53,36453920
05/08/2025,$197.49,50478870
05/07/2025,$196.25,68616940
05/06/2025,$198.51,51216480
05/05/2025,$198.89,69018450
05/02/2025,$205.35,101010600
05/01/2025,$213.32,57365680
04/30/2025,$212.50,52286450
04/29/2025,$211.21,36827630
04/28/2025,$210.14,38743070
04/25/2025,$209.28,38222260
04/24/2025,$208.37,47310990
04/23/2025,$204.60,52929170
04/22/2025,$199.74,52976370
04/21/2025,$193.16,46742540
04/17/2025,$196.98,52164680
04/16/2025,$194.27,59732420
04/15/2025,$202.14,51343870
04/14/2025,$202.52,101352900
04/11/2025,$198.15,87435920
04/10/2025,$190.42,121880000
04/09/2025,$198.85,184395900
04/08/2025,$172.42,120859500
04/07/2025,$181.46,160466300
04/04/2025,$188.38,125910900
04/03/2025,$203.19,103419000
04/02/2025,$223.89,35905900
04/01/2025,$223.19,36412740
03/31/2025,$222.13,65299320
03/28/2025,$217.90,39818620
03/27/2025,$223.85,37094770
03/26/2025,$221.53,34532660
03/25/2025,$223.75,34493580
03/24/2025,$220.73,44299480
03/21/2025,$218.27,94127770
03/20/2025,$214.10,48862950
03/19/2025,$215.24,54385390
03/18/2025,$212.69,42432430
03/17/2025,$214.00,48073430
03/14/2025,$213.49,60107580
03/13/2025,$209.68,61368330
03/12/2025,$216.98,62547470
03/11/2025,$220.84,76137410
03/10/2025,$227.48,72071200
03/07/2025,$239.07,46273570
03/06/2025,$235.33,45170420
03/05/2025,$235.74,47227640
03/04/2025,$235.93,53798060
03/03/2025,$238.03,47183990
02/28/2025,$241.84,56833360
02/27/2025,$237.30,41153640
02/26/2025,$240.36,44433560
02/25/2025,$247.04,48013270
02/24/2025,$247.10,51326400
02/21/2025,$245.55,53197430
02/20/2025,$245.83,32316910
02/19/2025,$244.87,32204220
02/18/2025,$244.47,48822490
02/14/2025,$244.60,40896230
02/13/2025,$241.53,53614050
02/12/2025,$236.87,45243290
02/11/2025,$232.62,53718360
02/10/2025,$227.65,33115650
02/07/2025,$227.63,39707220
02/06/2025,$233.22,29925350
02/05/2025,$232.47,39664990
02/04/2025,$232.80,45067300
02/03/2025,$228.01,73063300
01/31/2025,$236.00,101075100
01/30/2025,$237.59,55658280
01/29/2025,$239.36,45486100
01/28/2025,$238.26,75707570
01/27/2025,$229.86,94863420
01/24/2025,$222.78,54697910
01/23/2025,$223.66,60234760
01/22/2025,$223.83,64126500
01/21/2025,$222.64,98070430
01/17/2025,$229.98,68488300
01/16/2025,$228.26,71759050
01/15/2025,$237.87,39831970
01/14/2025,$233.28,39435290
01/13/2025,$234.40,49630730
01/10/2025,$236.85,61710860
01/08/2025,$242.70,37628940
01/07/2025,$242.21,40855960
01/06/2025,$245.00,45045570
01/03/2025,$243.36,40244110
01/02/2025,$243.85,55740730
12/31/2024,$250.42,39480720
12/30/2024,$252.20,35557540
12/27/2024,$255.59,42355320
12/26/2024,$259.02,27262980
12/24/2024,$258.20,23234710
12/23/2024,$255.27,40858770
12/20/2024,$254.49,147495300
12/19/2024,$249.79,60882260
12/18/2024,$248.05,56774100
12/17/2024,$253.48,51356360
12/16/2024,$251.04,51694750
12/13/2024,$248.13,33155290
12/12/2024,$247.96,32777530
12/11/2024,$246.49,45205810
12/10/2024,$247.77,36914810
12/09/2024,$246.75,44649230
12/06/2024,$242.84,36870620
12/05/2024,$243.04,40033880
12/04/2024,$243.01,44383940
12/03/2024,$242.65,38861020
12/02/2024,$239.59,48137100
11/29/2024,$237.33,28481380
11/27/2024,$234.93,33498440
11/26/2024,$235.06,45986190
11/25/2024,$232.87,90152830
11/22/2024,$229.87,38168250
11/21/2024,$228.52,42108330
11/20/2024,$229.00,35169570
11/19/2024,$228.28,36211770
11/18/2024,$228.02,44686020
11/15/2024,$225.00,47923700
11/14/2024,$228.22,44923940
11/13/2024,$225.12,48566220
11/12/2024,$224.23,40398300
11/11/2024,$224.23,42005600
11/08/2024,$226.96,38328820
11/07/2024,$227.48,42137690
11/06/2024,$222.72,54561120
11/05/2024,$223.45,28111340
11/04/2024,$222.01,44944470
11/01/2024,$222.91,65276740
10/31/2024,$225.91,64370090
10/30/2024,$230.10,47070910
10/29/2024,$233.67,35417250
10/28/2024,$233.40,36087130
10/25/2024,$231.41,38802300
10/24/2024,$230.57,31109500
10/23/2024,$230.76,52286980
10/22/2024,$235.86,38846580
10/21/2024,$236.48,36254470
10/18/2024,$235.00,46431470
10/17/2024,$232.15,32993810
10/16/2024,$231.78,34082240
10/15/2024,$233.85,64751370
10/14/2024,$231.30,39882090
10/11/2024,$227.55,31759190
10/10/2024,$229.04,28183540
10/09/2024,$229.54,33591090
10/08/2024,$225.77,31855690
10/07/2024,$221.69,39505350
10/04/2024,$226.80,37345100
10/03/2024,$225.67,34044160
10/02/2024,$226.78,32880610
10/01/2024,$226.21,63285050
09/30/2024,$233.00,54793390
09/27/2024,$227.79,34025970
09/26/2024,$227.52,36636710
09/25/2024,$226.37,42308720
09/24/2024,$227.37,43556070
